x,y,Bz
-0.19831000000002064,23.0,-114.4
9.199900000000127,24.0,-69.8
19.22840000000008,24.0,-1662.3
29.208910000000117,24.0,-1151.8
39.209730000000036,24.0,-1091.6
31.786039999999982,25.0,-763.1
21.78244999999995,25.0,-922.6
11.77378999999993,25.0,-483.0
1.668889999999891,25.0,-499.8
7.425880000000156,26.0,-615.4
17.26619000000003,26.0,-2426.0
27.290620000000025,26.0,-905.8
37.32575000000015,26.0,-998.7
33.573079999999905,27.0,-8.8
23.671649999999875,27.0,-3276.8
13.53968999999994,27.0,-1013.9
3.3934599999999335,27.0,-613.1
5.590580000000145,28.0,-1409.8
15.696530000000095,28.0,-2805.4
25.275970000000072,28.0,-132.8
35.279620000000094,28.0,-966.2
35.720459999999846,29.0,-284.3
25.717789999999905,29.0,-1254.8
15.699449999999882,29.0,-1873.3
5.7083699999999595,29.0,-906.7
3.2930300000000656,30.0,-1385.8
13.297110000000139,30.0,-2076.2
23.29772000000016,30.0,39.3
33.30117000000012,30.0,-581.5
37.69717999999992,31.0,-246.9
27.69463999999994,31.0,39.1
17.626799999999836,31.0,-1964.1
7.682769999999778,31.0,-1270.6
1.3157800000001885,32.0,-1142.3
11.333270000000084,32.0,-1820.7
21.327300000000093,32.0,42.5
31.33291000000014,32.0,86.8
39.55738000000002,33.0,-415.5
29.63373999999993,33.0,-10.7
19.474849999999773,33.0,-1288.6
9.308649999999883,33.0,-1425.4
-0.7312900000001719,33.0,-890.6
9.49301000000009,34.0,-1467.5
19.893880000000088,34.0,-305.8
29.35903000000014,34.0,645.5
39.3609600000001,34.0,-557.3
31.62719999999995,35.0,726.8
21.629479999999877,35.0,-158.9
11.629149999999857,35.0,-1296.5
1.6264299999998997,35.0,-821.3
7.375980000000268,36.0,-1106.8
17.379450000000034,36.0,-446.6
27.385010000000207,36.0,767.0
37.39063000000023,36.0,-215.3
33.60896999999993,37.0,502.9
23.60913999999978,37.0,642.1
13.604329999999987,37.0,-798.1
3.6022899999997406,37.0,-853.3
5.410920000000168,38.0,-812.9
15.407470000000068,38.0,-431.1
25.559620000000187,38.0,891.3
35.411210000000004,38.0,274.9
35.54976999999988,39.0,156.5
25.459359999999922,39.0,962.6
15.491799999999873,39.0,-132.2
5.335779999999858,39.0,-716.3
3.7367000000001838,40.0,-587.7
13.537450000000177,40.0,-369.3
23.845070000000277,40.0,767.2
33.4402900000002,40.0,636.8
37.560889999999944,41.0,-96.6
27.557969999999923,41.0,875.5
17.552319999999977,41.0,446.2
7.55075999999994,41.0,-437.7
1.4521600000000845,42.0,-515.9
11.45623000000004,42.0,-237.5
21.46048000000011,42.0,779.0
31.470780000000254,42.0,616.1
39.5341099999999,43.0,-324.6
29.48998999999988,43.0,-327.8
19.525479999999806,43.0,-90.0
9.443109999999724,43.0,19.3
-0.5063700000002171,43.0,53.2
9.530710000000155,44.0,59.0
19.512690000000177,44.0,56.8
