x,y,Bx
11.916299999999982,15.0,292.8
1.9131899999998723,15.0,377.5
7.08510000000004,16.0,272.8
17.089150000000046,16.0,141.0
27.0944200000001,16.0,-1180.5
37.09702000000007,16.0,-1468.0
33.90053999999998,17.0,416.3
23.894149999999907,17.0,500.2
13.890319999999914,17.0,176.0
3.884519999999924,17.0,-126.0
5.118510000000107,18.0,599.9
15.133970000000012,18.0,919.9
25.154100000000064,18.0,-1573.1
35.128730000000026,18.0,-2025.2
35.867699999999886,19.0,-210.2
25.65991999999996,19.0,1216.0
15.858439999999963,19.0,138.7
5.6817999999999955,19.0,-494.9
3.327210000000136,20.0,358.6
13.207140000000024,20.0,1642.9
23.261500000000055,20.0,-1166.1
33.424730000000054,20.0,-1369.0
37.441509999999866,21.0,-1266.6
27.660589999999967,21.0,1896.7
17.575469999999864,21.0,354.0
7.828219999999945,21.0,-570.7
1.1733900000001185,22.0,-188.7
11.178220000000145,22.0,1933.0
21.18065000000012,22.0,85.6
31.183350000000125,22.0,-1961.1
39.81304999999986,23.0,-2272.6
29.81336999999991,23.0,1818.9
19.80501999999996,23.0,1030.2
9.803409999999904,23.0,-584.1
-0.19831000000002064,23.0,-506.9
9.199900000000127,24.0,1656.7
19.22840000000008,24.0,1487.1
29.208910000000117,24.0,-2439.1
39.209730000000036,24.0,-2365.6
31.786039999999982,25.0,816.5
21.78244999999995,25.0,2121.0
11.77378999999993,25.0,-480.9
1.668889999999891,25.0,-576.1
7.425880000000156,26.0,909.9
17.26619000000003,26.0,2200.1
27.290620000000025,26.0,-2197.3
37.32575000000015,26.0,-1806.6
33.573079999999905,27.0,-956.7
23.671649999999875,27.0,2380.9
13.53968999999994,27.0,266.9
3.3934599999999335,27.0,-507.9
5.590580000000145,28.0,402.7
15.696530000000095,28.0,2279.9
25.275970000000072,28.0,1529.2
35.279620000000094,28.0,-1748.1
35.720459999999846,29.0,-2302.4
25.717789999999905,29.0,2085.8
15.699449999999882,29.0,1085.9
5.7083699999999595,29.0,-357.6
3.2930300000000656,30.0,81.9
13.297110000000139,30.0,1941.4
23.29772000000016,30.0,1954.8
33.30117000000012,30.0,-2036.4
37.69717999999992,31.0,-2337.6
27.69463999999994,31.0,1889.2
17.626799999999836,31.0,1701.9
7.682769999999778,31.0,16.7
1.3157800000001885,32.0,-13.7
11.333270000000084,32.0,1404.1
21.327300000000093,32.0,1955.2
31.33291000000014,32.0,-2225.6
39.55738000000002,33.0,-1849.5
29.63373999999993,33.0,-637.5
19.474849999999773,33.0,2300.6
9.308649999999883,33.0,458.5
-0.7312900000001719,33.0,-29.0
9.49301000000009,34.0,973.6
19.893880000000088,34.0,1450.6
29.35903000000014,34.0,-1567.0
39.3609600000001,34.0,-1306.9
31.62719999999995,35.0,-1456.5
21.629479999999877,35.0,1364.7
11.629149999999857,35.0,939.9
1.6264299999998997,35.0,0.6
7.375980000000268,36.0,625.7
17.379450000000034,36.0,1369.5
27.385010000000207,36.0,-690.6
37.39063000000023,36.0,-1493.9
33.60896999999993,37.0,-1531.2
23.60913999999978,37.0,492.5
13.604329999999987,37.0,1134.8
3.6022899999997406,37.0,265.1
5.410920000000168,38.0,422.4
15.407470000000068,38.0,1131.9
25.559620000000187,38.0,-14.3
35.411210000000004,38.0,-1433.1
35.54976999999988,39.0,-1286.6
25.459359999999922,39.0,-278.3
15.491799999999873,39.0,1038.6
5.335779999999858,39.0,503.9
3.7367000000001838,40.0,293.8
13.537450000000177,40.0,876.0
23.845070000000277,40.0,342.8
33.4402900000002,40.0,-1117.6
37.560889999999944,41.0,-935.4
27.557969999999923,41.0,-704.2
17.552319999999977,41.0,676.0
7.55075999999994,41.0,662.2
1.4521600000000845,42.0,293.7
11.45623000000004,42.0,809.1
21.46048000000011,42.0,294.5
31.470780000000254,42.0,-1019.9
39.5341099999999,43.0,-656.2
29.48998999999988,43.0,39.9
19.525479999999806,43.0,159.8
9.443109999999724,43.0,104.3
-0.5063700000002171,43.0,56.5
9.530710000000155,44.0,34.3
19.512690000000177,44.0,34.6
