x,y,By
7.08510000000004,16.0,-225.4
17.089150000000046,16.0,345.3
27.0944200000001,16.0,-1511.2
37.09702000000007,16.0,-1250.8
33.90053999999998,17.0,343.2
23.894149999999907,17.0,-737.1
13.890319999999914,17.0,-1221.9
3.884519999999924,17.0,-1395.7
5.118510000000107,18.0,-1360.0
15.133970000000012,18.0,49.3
25.154100000000064,18.0,-433.1
35.128730000000026,18.0,-1931.9
35.867699999999886,19.0,854.1
25.65991999999996,19.0,-1299.0
15.858439999999963,19.0,-1729.4
5.6817999999999955,19.0,-1357.1
3.327210000000136,20.0,-1989.0
13.207140000000024,20.0,-855.4
23.261500000000055,20.0,881.3
33.424730000000054,20.0,-2235.4
37.441509999999866,21.0,1164.5
27.660589999999967,21.0,-815.0
17.575469999999864,21.0,-2228.2
7.828219999999945,21.0,-1444.6
1.1733900000001185,22.0,-2287.0
11.178220000000145,22.0,-2046.9
21.18065000000012,22.0,1654.0
31.183350000000125,22.0,-1491.7
39.81304999999986,23.0,623.1
29.81336999999991,23.0,798.9
19.80501999999996,23.0,-2478.2
9.803409999999904,23.0,-1895.6
-0.19831000000002064,23.0,-2032.4
9.199900000000127,24.0,-2454.3
19.22840000000008,24.0,1651.1
29.208910000000117,24.0,298.2
39.209730000000036,24.0,-377.7
31.786039999999982,25.0,2089.0
21.78244999999995,25.0,-1982.6
11.77378999999993,25.0,-2175.1
1.668889999999891,25.0,-1419.9
7.425880000000156,26.0,-2175.3
17.26619000000003,26.0,1276.7
27.290620000000025,26.0,2050.8
37.32575000000015,26.0,-1087.6
33.573079999999905,27.0,2476.8
23.671649999999875,27.0,605.2
13.53968999999994,27.0,-1969.2
3.3934599999999335,27.0,-979.3
5.590580000000145,28.0,-1781.9
15.696530000000095,28.0,742.2
25.275970000000072,28.0,2371.6
35.279620000000094,28.0,-898.8
35.720459999999846,29.0,2272.6
25.717789999999905,29.0,1834.4
15.699449999999882,29.0,-1443.4
5.7083699999999595,29.0,-1062.6
3.2930300000000656,30.0,-1174.1
13.297110000000139,30.0,-200.2
23.29772000000016,30.0,2355.1
33.30117000000012,30.0,345.6
37.69717999999992,31.0,1052.5
27.69463999999994,31.0,2366.3
17.626799999999836,31.0,-171.1
7.682769999999778,31.0,-915.8
1.3157800000001885,32.0,-702.5
11.333270000000084,32.0,-211.7
21.327300000000093,32.0,2353.9
31.33291000000014,32.0,1559.2
39.55738000000002,33.0,108.6
29.63373999999993,33.0,2470.5
19.474849999999773,33.0,1048.3
9.308649999999883,33.0,-551.9
-0.7312900000001719,33.0,-398.7
9.49301000000009,34.0,-111.2
19.893880000000088,34.0,2101.5
29.35903000000014,34.0,2124.7
39.3609600000001,34.0,-328.8
31.62719999999995,35.0,1969.6
21.629479999999877,35.0,1963.0
11.629149999999857,35.0,46.7
1.6264299999998997,35.0,-300.3
7.375980000000268,36.0,-51.5
17.379450000000034,36.0,1408.9
27.385010000000207,36.0,2097.8
37.39063000000023,36.0,134.9
33.60896999999993,37.0,1096.4
23.60913999999978,37.0,2047.8
13.604329999999987,37.0,645.3
3.6022899999997406,37.0,-118.5
5.410920000000168,38.0,11.7
15.407470000000068,38.0,943.6
25.559620000000187,38.0,1914.0
35.411210000000004,38.0,644.4
35.54976999999988,39.0,423.2
25.459359999999922,39.0,1711.2
15.491799999999873,39.0,1080.4
5.335779999999858,39.0,124.9
3.7367000000001838,40.0,49.9
13.537450000000177,40.0,639.2
23.845070000000277,40.0,1554.5
33.4402900000002,40.0,940.3
37.560889999999944,41.0,68.6
27.557969999999923,41.0,1193.1
17.552319999999977,41.0,1238.2
7.55075999999994,41.0,386.0
1.4521600000000845,42.0,87.6
11.45623000000004,42.0,650.2
21.46048000000011,42.0,1409.2
31.470780000000254,42.0,837.4
39.5341099999999,43.0,-168.2
29.48998999999988,43.0,-234.5
19.525479999999806,43.0,-48.3
9.443109999999724,43.0,49.8
-0.5063700000002171,43.0,83.3
9.530710000000155,44.0,90.9
19.512690000000177,44.0,90.9
